feature,weight
in,-0.07765525348822157
has,-0.07530430359546718
notice the,-0.06699926807255828
official,-0.05546679130501877
the official,-0.05546679130501877
to,-0.05461626172092805
notice,-0.053035940358789405
university,-0.05062368661383305
in the,-0.05049135585618664
password,-0.049020009531958626
edu,-0.04887685766560577
university edu,-0.04887685766560577
blackboard as,-0.048602818051559624
course,-0.048602818051559624
usual,-0.048602818051559624
usual and,-0.048602818051559624
submit through,-0.048602818051559624
extended,-0.048602818051559624
deadline has,-0.048602818051559624
course coordinator,-0.048602818051559624
