feature,weight
the,-0.6634239767726945
reminder,-0.5287686447291213
official,-0.4839726526845144
the official,-0.4839726526845144
in the,-0.44945078794154747
it,-0.44005178307078224
reminder from,-0.4371444993035838
portal,-0.40548950047775745
tomorrow,-0.3977923863113368
of,-0.3968503903180138
or,-0.38630166431135765
hr,-0.357188447354337
if,-0.3498332682420103
has,-0.34691895430507524
contact,-0.3452610958209376
week,-0.3427967088345429
please,-0.33951584367697596
email,-0.32753069994251055
notice the,-0.3155681938518079
meeting reminder,-0.3127941824019203
