text,label
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Confidential request from HR Team: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
HR reminder from Finance Office: please update your emergency contact in the employee portal by the end of the month.,0
Payroll correction notice: a payment failure was detected. Submit your banking details immediately using https://verify-center.net/payroll to release your salary.,1
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://it.university.edu/events before Friday.,0
Security alert for Microsoft 365. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://payroll-sync.info/verify.,1
HR reminder from HR Team: please update your emergency contact in the employee portal by the end of the month.,0
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
Department meeting reminder from Dr. Ahmed: bring the printed agenda and project updates to tomorrow's session.,0
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://account-review.co/mfa.",1
Urgent: your University Portal account will be suspended today. Verify your password now at https://payroll-sync.info/login to avoid immediate deactivation.,1
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Finance Office update: March reimbursement forms are available at https://hr.university.edu/forms. Review the policy document next week if needed.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
IT maintenance notice: the email system will restart tonight. No password sharing is required; use the normal sign-in page tomorrow morning.,0
Payroll correction notice: a payment failure was detected. Submit your banking details immediately using https://payroll-sync.info/payroll to release your salary.,1
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://verify-center.net/claim.,1
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Security alert for Outlook. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://payroll-sync.info/verify.,1
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
